"animal_name","ring_id","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"Tina 8","PAL-0032","Adelie","Dream",37.2,18.1,178,3900,"male",2007
"Mary 38","PAL-0033","Adelie","Dream",39.5,17.8,188,3300,"female",2007
"Tina 24","PAL-0034","Adelie","Dream",40.9,18.9,184,3900,"male",2007
"Rita 10","PAL-0035","Adelie","Dream",36.4,17,195,3325,"female",2007
"Rita 37","PAL-0036","Adelie","Dream",39.2,21.1,196,4150,"male",2007
"Erica 1","PAL-0037","Adelie","Dream",38.8,20,190,3950,"male",2007
"Rita 7","PAL-0038","Adelie","Dream",42.2,18.5,180,3550,"female",2007
"Jessica 30","PAL-0039","Adelie","Dream",37.6,19.3,181,3300,"female",2007
"Mary 35","PAL-0040","Adelie","Dream",39.8,19.1,184,4650,"male",2007
"Tina 18","PAL-0041","Adelie","Dream",36.5,18,182,3150,"female",2007
"Mary 21","PAL-0042","Adelie","Dream",40.8,18.4,195,3900,"male",2007
"Jessica 27","PAL-0043","Adelie","Dream",36,18.5,186,3100,"female",2007
"Jessica 26","PAL-0044","Adelie","Dream",44.1,19.7,196,4400,"male",2007
"Monica 24","PAL-0045","Adelie","Dream",37,16.9,185,3000,"female",2007
"Mary 17","PAL-0046","Adelie","Dream",39.6,18.8,190,4600,"male",2007
"Rita 19","PAL-0047","Adelie","Dream",41.1,19,182,3425,"male",2007
"Mary 12","PAL-0048","Adelie","Dream",37.5,18.9,179,2975,NA,2007
"Angela 8","PAL-0049","Adelie","Dream",36,17.9,190,3450,"female",2007
"Rita 32","PAL-0050","Adelie","Dream",42.3,21.2,191,4150,"male",2007
"Angela 2","PAL-0051","Adelie","Biscoe",39.6,17.7,186,3500,"female",2008
"Angela 28","PAL-0052","Adelie","Biscoe",40.1,18.9,188,4300,"male",2008
"Pamela 33","PAL-0053","Adelie","Biscoe",35,17.9,190,3450,"female",2008
"Sandra 13","PAL-0054","Adelie","Biscoe",42,19.5,200,4050,"male",2008
"Pamela 38","PAL-0055","Adelie","Biscoe",34.5,18.1,187,2900,"female",2008
"Rita 14","PAL-0056","Adelie","Biscoe",41.4,18.6,191,3700,"male",2008
"Rita 5","PAL-0057","Adelie","Biscoe",39,17.5,186,3550,"female",2008
"Mary 4","PAL-0058","Adelie","Biscoe",40.6,18.8,193,3800,"male",2008
"Mary 14","PAL-0059","Adelie","Biscoe",36.5,16.6,181,2850,"female",2008
"Sandra 4","PAL-0060","Adelie","Biscoe",37.6,19.1,194,3750,"male",2008
"Angela 18","PAL-0061","Adelie","Biscoe",35.7,16.9,185,3150,"female",2008
"Angela 38","PAL-0062","Adelie","Biscoe",41.3,21.1,195,4400,"male",2008
"Mary 9","PAL-0063","Adelie","Biscoe",37.6,17,185,3600,"female",2008
"Angela 23","PAL-0064","Adelie","Biscoe",41.1,18.2,192,4050,"male",2008
"Rita 22","PAL-0065","Adelie","Biscoe",36.4,17.1,184,2850,"female",2008
"Jessica 5","PAL-0066","Adelie","Biscoe",41.6,18,192,3950,"male",2008
"Jessica 6","PAL-0067","Adelie","Biscoe",35.5,16.2,195,3350,"female",2008
"Tina 39","PAL-0068","Adelie","Biscoe",41.1,19.1,188,4100,"male",2008
"Angela 9","PAL-0069","Adelie","Torgersen",35.9,16.6,190,3050,"female",2008
"Rita 34","PAL-0070","Adelie","Torgersen",41.8,19.4,198,4450,"male",2008
"Erica 22","PAL-0071","Adelie","Torgersen",33.5,19,190,3600,"female",2008
"Monica 16","PAL-0072","Adelie","Torgersen",39.7,18.4,190,3900,"male",2008
"Jessica 19","PAL-0073","Adelie","Torgersen",39.6,17.2,196,3550,"female",2008
"Mary 23","PAL-0074","Adelie","Torgersen",45.8,18.9,197,4150,"male",2008
"Rita 20","PAL-0075","Adelie","Torgersen",35.5,17.5,190,3700,"female",2008
"Pamela 10","PAL-0076","Adelie","Torgersen",42.8,18.5,195,4250,"male",2008
"Angela 37","PAL-0077","Adelie","Torgersen",40.9,16.8,191,3700,"female",2008
"Pamela 26","PAL-0078","Adelie","Torgersen",37.2,19.4,184,3900,"male",2008
"Rita 33","PAL-0079","Adelie","Torgersen",36.2,16.1,187,3550,"female",2008
"Sandra 33","PAL-0080","Adelie","Torgersen",42.1,19.1,195,4000,"male",2008
"Sandra 32","PAL-0081","Adelie","Torgersen",34.6,17.2,189,3200,"female",2008
"Angela 34","PAL-0082","Adelie","Torgersen",42.9,17.6,196,4700,"male",2008
"Erica 4","PAL-0083","Adelie","Torgersen",36.7,18.8,187,3800,"female",2008
"Sandra 39","PAL-0084","Adelie","Torgersen",35.1,19.4,193,4200,"male",2008
"Sandra 5","PAL-0085","Adelie","Dream",37.3,17.8,191,3350,"female",2008
"Tina 38","PAL-0086","Adelie","Dream",41.3,20.3,194,3550,"male",2008
"Monica 20","PAL-0087","Adelie","Dream",36.3,19.5,190,3800,"male",2008
"Pamela 37","PAL-0088","Adelie","Dream",36.9,18.6,189,3500,"female",2008
"Angela 32","PAL-0089","Adelie","Dream",38.3,19.2,189,3950,"male",2008
"Rita 29","PAL-0090","Adelie","Dream",38.9,18.8,190,3600,"female",2008
"Monica 27","PAL-0091","Adelie","Dream",35.7,18,202,3550,"female",2008
"Angela 29","PAL-0092","Adelie","Dream",41.1,18.1,205,4300,"male",2008
"Rita 25","PAL-0093","Adelie","Dream",34,17.1,185,3400,"female",2008
"Tina 4","PAL-0094","Adelie","Dream",39.6,18.1,186,4450,"male",2008
"Mary 8","PAL-0095","Adelie","Dream",36.2,17.3,187,3300,"female",2008
"Sandra 25","PAL-0096","Adelie","Dream",40.8,18.9,208,4300,"male",2008
"Erica 19","PAL-0097","Adelie","Dream",38.1,18.6,190,3700,"female",2008
"Rita 28","PAL-0098","Adelie","Dream",40.3,18.5,196,4350,"male",2008
"Tina 31","PAL-0099","Adelie","Dream",33.1,16.1,178,2900,"female",2008
"Tina 33","PAL-0100","Adelie","Dream",43.2,18.5,192,4100,"male",2008
"Rita 21","PAL-0101","Adelie","Biscoe",35,17.9,192,3725,"female",2009
"Erica 29","PAL-0102","Adelie","Biscoe",41,20,203,4725,"male",2009
"Sandra 18","PAL-0103","Adelie","Biscoe",37.7,16,183,3075,"female",2009
"Jessica 8","PAL-0104","Adelie","Biscoe",37.8,20,190,4250,"male",2009
"Erica 9","PAL-0105","Adelie","Biscoe",37.9,18.6,193,2925,"female",2009
"Mary 6","PAL-0106","Adelie","Biscoe",39.7,18.9,184,3550,"male",2009
"Sandra 2","PAL-0107","Adelie","Biscoe",38.6,17.2,199,3750,"female",2009
"Erica 26","PAL-0108","Adelie","Biscoe",38.2,20,190,3900,"male",2009
"Jessica 7","PAL-0109","Adelie","Biscoe",38.1,17,181,3175,"female",2009
"Rita 26","PAL-0110","Adelie","Biscoe",43.2,19,197,4775,"male",2009
"Angela 31","PAL-0111","Adelie","Biscoe",38.1,16.5,198,3825,"female",2009
"Pamela 17","PAL-0112","Adelie","Biscoe",45.6,20.3,191,4600,"male",2009
"Sandra 19","PAL-0113","Adelie","Biscoe",39.7,17.7,193,3200,"female",2009
"Mary 10","PAL-0114","Adelie","Biscoe",42.2,19.5,197,4275,"male",2009
"Pamela 24","PAL-0115","Adelie","Biscoe",39.6,20.7,191,3900,"female",2009
"Mary 24","PAL-0116","Adelie","Biscoe",42.7,18.3,196,4075,"male",2009
"Rita 1","PAL-0117","Adelie","Torgersen",38.6,17,188,2900,"female",2009
"Erica 32","PAL-0118","Adelie","Torgersen",37.3,20.5,199,3775,"male",2009
"Erica 27","PAL-0119","Adelie","Torgersen",35.7,17,189,3350,"female",2009
"Mary 29","PAL-0120","Adelie","Torgersen",41.1,18.6,189,3325,"male",2009
"Monica 10","PAL-0121","Adelie","Torgersen",36.2,17.2,187,3150,"female",2009
"Jessica 3","PAL-0122","Adelie","Torgersen",37.7,19.8,198,3500,"male",2009
"Angela 24","PAL-0123","Adelie","Torgersen",40.2,17,176,3450,"female",2009
"Erica 6","PAL-0124","Adelie","Torgersen",41.4,18.5,202,3875,"male",2009
"Jessica 1","PAL-0125","Adelie","Torgersen",35.2,15.9,186,3050,"female",2009
"Monica 25","PAL-0126","Adelie","Torgersen",40.6,19,199,4000,"male",2009
"Rita 9","PAL-0127","Adelie","Torgersen",38.8,17.6,191,3275,"female",2009
"Pamela 16","PAL-0128","Adelie","Torgersen",41.5,18.3,195,4300,"male",2009
"Sandra 6","PAL-0129","Adelie","Torgersen",39,17.1,191,3050,"female",2009
"Tina 28","PAL-0130","Adelie","Torgersen",44.1,18,210,4000,"male",2009
"Sandra 38","PAL-0131","Adelie","Torgersen",38.5,17.9,190,3325,"female",2009
"Sandra 12","PAL-0132","Adelie","Torgersen",43.1,19.2,197,3500,"male",2009
"Pamela 30","PAL-0133","Adelie","Dream",36.8,18.5,193,3500,"female",2009
"Erica 23","PAL-0134","Adelie","Dream",37.5,18.5,199,4475,"male",2009
"Mary 18","PAL-0135","Adelie","Dream",38.1,17.6,187,3425,"female",2009
"Erica 38","PAL-0136","Adelie","Dream",41.1,17.5,190,3900,"male",2009
"Mary 3","PAL-0137","Adelie","Dream",35.6,17.5,191,3175,"female",2009
"Tina 6","PAL-0138","Adelie","Dream",40.2,20.1,200,3975,"male",2009
"Pamela 14","PAL-0139","Adelie","Dream",37,16.5,185,3400,"female",2009
"Angela 7","PAL-0140","Adelie","Dream",39.7,17.9,193,4250,"male",2009
"Rita 18","PAL-0141","Adelie","Dream",40.2,17.1,193,3400,"female",2009
"Rita 39","PAL-0142","Adelie","Dream",40.6,17.2,187,3475,"male",2009
"Mary 19","PAL-0143","Adelie","Dream",32.1,15.5,188,3050,"female",2009
"Tina 34","PAL-0144","Adelie","Dream",40.7,17,190,3725,"male",2009
"Sandra 37","PAL-0145","Adelie","Dream",37.3,16.8,192,3000,"female",2009
"Sandra 21","PAL-0146","Adelie","Dream",39,18.7,185,3650,"male",2009
"Pamela 25","PAL-0147","Adelie","Dream",39.2,18.6,190,4250,"male",2009
"Tina 11","PAL-0148","Adelie","Dream",36.6,18.4,184,3475,"female",2009
"Mary 36","PAL-0149","Adelie","Dream",36,17.8,195,3450,"female",2009
"Monica 37","PAL-0150","Adelie","Dream",37.8,18.1,193,3750,"male",2009
"Tina 16","PAL-0151","Adelie","Dream",36,17.1,187,3700,"female",2009
"Jessica 29","PAL-0152","Adelie","Dream",41.5,18.5,201,4000,"male",2009
"Angela 1","PAL-0153","Gentoo","Biscoe",46.1,13.2,211,4500,"female",2007
"Pamela 9","PAL-0154","Gentoo","Biscoe",50,16.3,230,5700,"male",2007
"Rita 2","PAL-0155","Gentoo","Biscoe",48.7,14.1,210,4450,"female",2007
"Sandra 34","PAL-0156","Gentoo","Biscoe",50,15.2,218,5700,"male",2007
"Pamela 27","PAL-0157","Gentoo","Biscoe",47.6,14.5,215,5400,"male",2007
"Monica 3","PAL-0158","Gentoo","Biscoe",46.5,13.5,210,4550,"female",2007
"Monica 14","PAL-0159","Gentoo","Biscoe",45.4,14.6,211,4800,"female",2007
"Tina 5","PAL-0160","Gentoo","Biscoe",46.7,15.3,219,5200,"male",2007
"Angela 30","PAL-0161","Gentoo","Biscoe",43.3,13.4,209,4400,"female",2007
"Erica 3","PAL-0162","Gentoo","Biscoe",46.8,15.4,215,5150,"male",2007
"Angela 5","PAL-0163","Gentoo","Biscoe",40.9,13.7,214,4650,"female",2007
"Angela 33","PAL-0164","Gentoo","Biscoe",49,16.1,216,5550,"male",2007
"Monica 9","PAL-0165","Gentoo","Biscoe",45.5,13.7,214,4650,"female",2007
"Jessica 34","PAL-0166","Gentoo","Biscoe",48.4,14.6,213,5850,"male",2007
"Pamela 29","PAL-0167","Gentoo","Biscoe",45.8,14.6,210,4200,"female",2007
"Jessica 9","PAL-0168","Gentoo","Biscoe",49.3,15.7,217,5850,"male",2007
"Mary 34","PAL-0169","Gentoo","Biscoe",42,13.5,210,4150,"female",2007
"Tina 20","PAL-0170","Gentoo","Biscoe",49.2,15.2,221,6300,"male",2007
"Monica 2","PAL-0171","Gentoo","Biscoe",46.2,14.5,209,4800,"female",2007
"Sandra 35","PAL-0172","Gentoo","Biscoe",48.7,15.1,222,5350,"male",2007
"Jessica 23","PAL-0173","Gentoo","Biscoe",50.2,14.3,218,5700,"male",2007
"Tina 30","PAL-0174","Gentoo","Biscoe",45.1,14.5,215,5000,"female",2007
"Erica 34","PAL-0175","Gentoo","Biscoe",46.5,14.5,213,4400,"female",2007
"Rita 11","PAL-0176","Gentoo","Biscoe",46.3,15.8,215,5050,"male",2007
"Mary 30","PAL-0177","Gentoo","Biscoe",42.9,13.1,215,5000,"female",2007
"Erica 2","PAL-0178","Gentoo","Biscoe",46.1,15.1,215,5100,"male",2007
"Rita 3","PAL-0179","Gentoo","Biscoe",44.5,14.3,216,4100,NA,2007
"Jessica 35","PAL-0180","Gentoo","Biscoe",47.8,15,215,5650,"male",2007
"Mary 31","PAL-0181","Gentoo","Biscoe",48.2,14.3,210,4600,"female",2007
"Monica 33","PAL-0182","Gentoo","Biscoe",50,15.3,220,5550,"male",2007
"Mary 28","PAL-0183","Gentoo","Biscoe",47.3,15.3,222,5250,"male",2007
"Sandra 27","PAL-0184","Gentoo","Biscoe",42.8,14.2,209,4700,"female",2007
"Angela 16","PAL-0185","Gentoo","Biscoe",45.1,14.5,207,5050,"female",2007
"Erica 14","PAL-0186","Gentoo","Biscoe",59.6,17,230,6050,"male",2007
"Sandra 20","PAL-0187","Gentoo","Biscoe",49.1,14.8,220,5150,"female",2008
"Sandra 11","PAL-0188","Gentoo","Biscoe",48.4,16.3,220,5400,"male",2008
"Angela 35","PAL-0189","Gentoo","Biscoe",42.6,13.7,213,4950,"female",2008
"Erica 37","PAL-0190","Gentoo","Biscoe",44.4,17.3,219,5250,"male",2008
"Angela 20","PAL-0191","Gentoo","Biscoe",44,13.6,208,4350,"female",2008
"Rita 36","PAL-0192","Gentoo","Biscoe",48.7,15.7,208,5350,"male",2008
"Sandra 10","PAL-0193","Gentoo","Biscoe",42.7,13.7,208,3950,"female",2008
"Rita 4","PAL-0194","Gentoo","Biscoe",49.6,16,225,5700,"male",2008
"Erica 15","PAL-0195","Gentoo","Biscoe",45.3,13.7,210,4300,"female",2008
"Monica 35","PAL-0196","Gentoo","Biscoe",49.6,15,216,4750,"male",2008
"Jessica 4","PAL-0197","Gentoo","Biscoe",50.5,15.9,222,5550,"male",2008
"Angela 21","PAL-0198","Gentoo","Biscoe",43.6,13.9,217,4900,"female",2008
"Tina 12","PAL-0199","Gentoo","Biscoe",45.5,13.9,210,4200,"female",2008
"Monica 34","PAL-0200","Gentoo","Biscoe",50.5,15.9,225,5400,"male",2008
"Tina 25","PAL-0201","Gentoo","Biscoe",44.9,13.3,213,5100,"female",2008
"Tina 19","PAL-0202","Gentoo","Biscoe",45.2,15.8,215,5300,"male",2008
"Rita 12","PAL-0203","Gentoo","Biscoe",46.6,14.2,210,4850,"female",2008
"Mary 16","PAL-0204","Gentoo","Biscoe",48.5,14.1,220,5300,"male",2008
"Monica 19","PAL-0205","Gentoo","Biscoe",45.1,14.4,210,4400,"female",2008
"Monica 13","PAL-0206","Gentoo","Biscoe",50.1,15,225,5000,"male",2008
"Sandra 29","PAL-0207","Gentoo","Biscoe",46.5,14.4,217,4900,"female",2008
"Pamela 15","PAL-0208","Gentoo","Biscoe",45,15.4,220,5050,"male",2008
"Pamela 28","PAL-0209","Gentoo","Biscoe",43.8,13.9,208,4300,"female",2008
"Sandra 28","PAL-0210","Gentoo","Biscoe",45.5,15,220,5000,"male",2008
"Monica 30","PAL-0211","Gentoo","Biscoe",43.2,14.5,208,4450,"female",2008
"Sandra 9","PAL-0212","Gentoo","Biscoe",50.4,15.3,224,5550,"male",2008
"Erica 36","PAL-0213","Gentoo","Biscoe",45.3,13.8,208,4200,"female",2008
"Erica 28","PAL-0214","Gentoo","Biscoe",46.2,14.9,221,5300,"male",2008
"Monica 21","PAL-0215","Gentoo","Biscoe",45.7,13.9,214,4400,"female",2008
"Erica 10","PAL-0216","Gentoo","Biscoe",54.3,15.7,231,5650,"male",2008
"Jessica 39","PAL-0217","Gentoo","Biscoe",45.8,14.2,219,4700,"female",2008
"Sandra 3","PAL-0218","Gentoo","Biscoe",49.8,16.8,230,5700,"male",2008
"Jessica 10","PAL-0219","Gentoo","Biscoe",46.2,14.4,214,4650,NA,2008
"Pamela 36","PAL-0220","Gentoo","Biscoe",49.5,16.2,229,5800,"male",2008
"Tina 13","PAL-0221","Gentoo","Biscoe",43.5,14.2,220,4700,"female",2008
"Sandra 17","PAL-0222","Gentoo","Biscoe",50.7,15,223,5550,"male",2008
"Erica 7","PAL-0223","Gentoo","Biscoe",47.7,15,216,4750,"female",2008
"Monica 28","PAL-0224","Gentoo","Biscoe",46.4,15.6,221,5000,"male",2008
"Erica 5","PAL-0225","Gentoo","Biscoe",48.2,15.6,221,5100,"male",2008
"Monica 15","PAL-0226","Gentoo","Biscoe",46.5,14.8,217,5200,"female",2008
"Rita 16","PAL-0227","Gentoo","Biscoe",46.4,15,216,4700,"female",2008
"Jessica 17","PAL-0228","Gentoo","Biscoe",48.6,16,230,5800,"male",2008
"Pamela 2","PAL-0229","Gentoo","Biscoe",47.5,14.2,209,4600,"female",2008
"Tina 9","PAL-0230","Gentoo","Biscoe",51.1,16.3,220,6000,"male",2008
"Sandra 15","PAL-0231","Gentoo","Biscoe",45.2,13.8,215,4750,"female",2008
"Mary 33","PAL-0232","Gentoo","Biscoe",45.2,16.4,223,5950,"male",2008
"Mary 25","PAL-0233","Gentoo","Biscoe",49.1,14.5,212,4625,"female",2009
"Rita 27","PAL-0234","Gentoo","Biscoe",52.5,15.6,221,5450,"male",2009
"Mary 7","PAL-0235","Gentoo","Biscoe",47.4,14.6,212,4725,"female",2009
"Tina 32","PAL-0236","Gentoo","Biscoe",50,15.9,224,5350,"male",2009
"Tina 26","PAL-0237","Gentoo","Biscoe",44.9,13.8,212,4750,"female",2009
"Rita 6","PAL-0238","Gentoo","Biscoe",50.8,17.3,228,5600,"male",2009
"Angela 12","PAL-0239","Gentoo","Biscoe",43.4,14.4,218,4600,"female",2009
"Angela 22","PAL-0240","Gentoo","Biscoe",51.3,14.2,218,5300,"male",2009
"Sandra 14","PAL-0241","Gentoo","Biscoe",47.5,14,212,4875,"female",2009
"Pamela 21","PAL-0242","Gentoo","Biscoe",52.1,17,230,5550,"male",2009
"Rita 38","PAL-0243","Gentoo","Biscoe",47.5,15,218,4950,"female",2009
"Mary 37","PAL-0244","Gentoo","Biscoe",52.2,17.1,228,5400,"male",2009
"Mary 15","PAL-0245","Gentoo","Biscoe",45.5,14.5,212,4750,"female",2009
"Monica 29","PAL-0246","Gentoo","Biscoe",49.5,16.1,224,5650,"male",2009
"Pamela 12","PAL-0247","Gentoo","Biscoe",44.5,14.7,214,4850,"female",2009
"Sandra 22","PAL-0248","Gentoo","Biscoe",50.8,15.7,226,5200,"male",2009
"Pamela 23","PAL-0249","Gentoo","Biscoe",49.4,15.8,216,4925,"male",2009
"Tina 7","PAL-0250","Gentoo","Biscoe",46.9,14.6,222,4875,"female",2009
"Jessica 18","PAL-0251","Gentoo","Biscoe",48.4,14.4,203,4625,"female",2009
"Angela 14","PAL-0252","Gentoo","Biscoe",51.1,16.5,225,5250,"male",2009
"Monica 32","PAL-0253","Gentoo","Biscoe",48.5,15,219,4850,"female",2009
"Tina 35","PAL-0254","Gentoo","Biscoe",55.9,17,228,5600,"male",2009
"Mary 1","PAL-0255","Gentoo","Biscoe",47.2,15.5,215,4975,"female",2009
"Sandra 8","PAL-0256","Gentoo","Biscoe",49.1,15,228,5500,"male",2009
"Erica 17","PAL-0257","Gentoo","Biscoe",47.3,13.8,216,4725,NA,2009
"Tina 14","PAL-0258","Gentoo","Biscoe",46.8,16.1,215,5500,"male",2009
"Sandra 7","PAL-0259","Gentoo","Biscoe",41.7,14.7,210,4700,"female",2009
"Tina 27","PAL-0260","Gentoo","Biscoe",53.4,15.8,219,5500,"male",2009
"Pamela 34","PAL-0261","Gentoo","Biscoe",43.3,14,208,4575,"female",2009
"Rita 31","PAL-0262","Gentoo","Biscoe",48.1,15.1,209,5500,"male",2009
"Monica 5","PAL-0263","Gentoo","Biscoe",50.5,15.2,216,5000,"female",2009
"Jessica 12","PAL-0264","Gentoo","Biscoe",49.8,15.9,229,5950,"male",2009
"Sandra 36","PAL-0265","Gentoo","Biscoe",43.5,15.2,213,4650,"female",2009
"Erica 18","PAL-0266","Gentoo","Biscoe",51.5,16.3,230,5500,"male",2009
"Erica 24","PAL-0267","Gentoo","Biscoe",46.2,14.1,217,4375,"female",2009
"Jessica 16","PAL-0268","Gentoo","Biscoe",55.1,16,230,5850,"male",2009
"Rita 15","PAL-0269","Gentoo","Biscoe",44.5,15.7,217,4875,NA,2009
"Monica 31","PAL-0270","Gentoo","Biscoe",48.8,16.2,222,6000,"male",2009
"Angela 26","PAL-0271","Gentoo","Biscoe",47.2,13.7,214,4925,"female",2009
"Jessica 13","PAL-0272","Gentoo","Biscoe",NA,NA,NA,NA,NA,2009
"Jessica 21","PAL-0273","Gentoo","Biscoe",46.8,14.3,215,4850,"female",2009
"Mary 11","PAL-0274","Gentoo","Biscoe",50.4,15.7,222,5750,"male",2009
"Pamela 20","PAL-0275","Gentoo","Biscoe",45.2,14.8,212,5200,"female",2009
"Erica 30","PAL-0276","Gentoo","Biscoe",49.9,16.1,213,5400,"male",2009
"Pamela 13","PAL-0277","Chinstrap","Dream",46.5,17.9,192,3500,"female",2007
"Pamela 31","PAL-0278","Chinstrap","Dream",50,19.5,196,3900,"male",2007
"Angela 11","PAL-0279","Chinstrap","Dream",51.3,19.2,193,3650,"male",2007
"Monica 18","PAL-0280","Chinstrap","Dream",45.4,18.7,188,3525,"female",2007
"Monica 12","PAL-0281","Chinstrap","Dream",52.7,19.8,197,3725,"male",2007
"Tina 10","PAL-0282","Chinstrap","Dream",45.2,17.8,198,3950,"female",2007
"Tina 36","PAL-0283","Chinstrap","Dream",46.1,18.2,178,3250,"female",2007
"Monica 23","PAL-0284","Chinstrap","Dream",51.3,18.2,197,3750,"male",2007
"Pamela 22","PAL-0285","Chinstrap","Dream",46,18.9,195,4150,"female",2007
"Monica 26","PAL-0286","Chinstrap","Dream",51.3,19.9,198,3700,"male",2007
"Sandra 31","PAL-0287","Chinstrap","Dream",46.6,17.8,193,3800,"female",2007
"Monica 4","PAL-0288","Chinstrap","Dream",51.7,20.3,194,3775,"male",2007
"Monica 6","PAL-0289","Chinstrap","Dream",47,17.3,185,3700,"female",2007
"Monica 7","PAL-0290","Chinstrap","Dream",52,18.1,201,4050,"male",2007
"Angela 39","PAL-0291","Chinstrap","Dream",45.9,17.1,190,3575,"female",2007
"Tina 3","PAL-0292","Chinstrap","Dream",50.5,19.6,201,4050,"male",2007
"Sandra 24","PAL-0293","Chinstrap","Dream",50.3,20,197,3300,"male",2007
"Monica 1","PAL-0294","Chinstrap","Dream",58,17.8,181,3700,"female",2007
"Monica 39","PAL-0295","Chinstrap","Dream",46.4,18.6,190,3450,"female",2007
"Jessica 14","PAL-0296","Chinstrap","Dream",49.2,18.2,195,4400,"male",2007
"Monica 36","PAL-0297","Chinstrap","Dream",42.4,17.3,181,3600,"female",2007
"Rita 24","PAL-0298","Chinstrap","Dream",48.5,17.5,191,3400,"male",2007
"Mary 39","PAL-0299","Chinstrap","Dream",43.2,16.6,187,2900,"female",2007
"Rita 17","PAL-0300","Chinstrap","Dream",50.6,19.4,193,3800,"male",2007
"Mary 5","PAL-0301","Chinstrap","Dream",46.7,17.9,195,3300,"female",2007
"Mary 2","PAL-0302","Chinstrap","Dream",52,19,197,4150,"male",2007
"Mary 27","PAL-0303","Chinstrap","Dream",50.5,18.4,200,3400,"female",2008
"Mary 26","PAL-0304","Chinstrap","Dream",49.5,19,200,3800,"male",2008
"Jessica 32","PAL-0305","Chinstrap","Dream",46.4,17.8,191,3700,"female",2008
"Jessica 25","PAL-0306","Chinstrap","Dream",52.8,20,205,4550,"male",2008
"Tina 17","PAL-0307","Chinstrap","Dream",40.9,16.6,187,3200,"female",2008
"Rita 8","PAL-0308","Chinstrap","Dream",54.2,20.8,201,4300,"male",2008
"Pamela 4","PAL-0309","Chinstrap","Dream",42.5,16.7,187,3350,"female",2008
"Erica 13","PAL-0310","Chinstrap","Dream",51,18.8,203,4100,"male",2008
"Angela 3","PAL-0311","Chinstrap","Dream",49.7,18.6,195,3600,"male",2008
"Erica 39","PAL-0312","Chinstrap","Dream",47.5,16.8,199,3900,"female",2008
"Erica 12","PAL-0313","Chinstrap","Dream",47.6,18.3,195,3850,"female",2008
"Monica 38","PAL-0314","Chinstrap","Dream",52,20.7,210,4800,"male",2008
"Mary 20","PAL-0315","Chinstrap","Dream",46.9,16.6,192,2700,"female",2008
"Sandra 26","PAL-0316","Chinstrap","Dream",53.5,19.9,205,4500,"male",2008
